" 3D Run ID","D","a","Tables\0D Results\phase_diameter"
"1","300","400","-168.027"
"2","311","400","178.046"
"3","322","400","158.223"
"4","333","400","158.795"
"5","344","400","140.829"
"6","355","400","63.6792"
"7","366","400","118.001"
"8","377","400","95.2699"
"9","388","400","85.0735"
"10","399","400","62.7869"
"11","300","411.111","-167.298"
"12","311","411.111","179.119"
"13","322","411.111","158.811"
"14","333","411.111","161.858"
"15","344","411.111","144.908"
"16","355","411.111","89.6428"
"17","366","411.111","123.644"
"18","377","411.111","105.81"
"19","388","411.111","111.377"
"20","399","411.111","79.147"
"21","300","422.222","-168.263"
"22","311","422.222","178.763"
"23","322","422.222","157.626"
"24","333","422.222","164.663"
"25","344","422.222","147.877"
"26","355","422.222","103.142"
"27","366","422.222","128.331"
"28","377","422.222","109.791"
"29","388","422.222","80.686"
"30","399","422.222","89.1125"
"31","300","433.333","-165.632"
"32","311","433.333","-178.721"
"33","322","433.333","155.421"
"34","333","433.333","166.335"
"35","344","433.333","150.496"
"36","355","433.333","109.202"
"37","366","433.333","133.554"
"38","377","433.333","116.776"
"39","388","433.333","94.794"
"40","399","433.333","108.564"
"41","300","444.444","-165.391"
"42","311","444.444","-177.927"
"43","322","444.444","150.234"
"44","333","444.444","168.26"
"45","344","444.444","152.547"
"46","355","444.444","113.31"
"47","366","444.444","137.368"
"48","377","444.444","120.209"
"49","388","444.444","100.8"
"50","399","444.444","158.399"
"51","300","455.556","-165.355"
"52","311","455.556","-177.867"
"53","322","455.556","139.227"
"54","333","455.556","170.258"
"55","344","455.556","155.036"
"56","355","455.556","115.063"
"57","366","455.556","139.672"
"58","377","455.556","122.758"
"59","388","455.556","103.948"
"60","399","455.556","35.9693"
"61","300","466.667","-165.372"
"62","311","466.667","-177.314"
"63","322","466.667","120.572"
"64","333","466.667","172.138"
"65","344","466.667","156.518"
"66","355","466.667","115.316"
"67","366","466.667","142.391"
"68","377","466.667","125.229"
"69","388","466.667","106.574"
"70","399","466.667","57.339"
"71","300","477.778","-165.336"
"72","311","477.778","-177.353"
"73","322","477.778","91.3261"
"74","333","477.778","173.121"
"75","344","477.778","158.402"
"76","355","477.778","115.687"
"77","366","477.778","144.228"
"78","377","477.778","127.788"
"79","388","477.778","106.939"
"80","399","477.778","66.8917"
"81","300","488.889","-164.883"
"82","311","488.889","-177.534"
"83","322","488.889","-115.856"
"84","333","488.889","174.477"
"85","344","488.889","159.532"
"86","355","488.889","114.63"
"87","366","488.889","147.778"
"88","377","488.889","129.705"
"89","388","488.889","110.373"
"90","399","488.889","70.5034"
"91","300","500","-164.844"
"92","311","500","-177.514"
"93","322","500","-133.918"
"94","333","500","175.657"
"95","344","500","160.122"
"96","355","500","111.434"
"97","366","500","149.019"
"98","377","500","131.101"
"99","388","500","111.78"
"100","399","500","72.1652"
"101","345","433","148.831"
"102","345","434.158","148.998"
"103","345","435.316","149.234"
"104","345","436.474","149.588"
"105","345","437.632","149.736"
"106","345","438.789","150.04"
"107","345","439.947","149.999"
"108","345","441.105","150.433"
"109","345","442.263","150.626"
"110","345","443.421","151.003"
"111","345","444.579","151.283"
"112","345","445.737","151.122"
"113","345","446.895","151.536"
"114","345","448.053","152.119"
"115","345","449.211","152.418"
"116","345","450.368","152.26"
"117","345","451.526","152.58"
"118","345","452.684","152.707"
"119","345","453.842","153.329"
"120","345","455","153.366"
"121","350","433","140.362"
"122","350","434.158","140.705"
"123","350","435.316","140.906"
"124","350","436.474","141.118"
"125","350","437.632","141.184"
"126","350","438.789","141.497"
"127","350","439.947","141.638"
"128","350","441.105","142.086"
"129","350","442.263","142.13"
"130","350","443.421","142.196"
"131","350","444.579","142.46"
"132","350","445.737","142.592"
"133","350","446.895","142.785"
"134","350","448.053","143.054"
"135","350","449.211","143.177"
"136","350","450.368","143.459"
"137","350","451.526","143.607"
"138","350","452.684","144.047"
"139","350","453.842","144.136"
"140","350","455","144.249"
"141","355","433","108.894"
"142","355","434.158","109.24"
"143","355","435.316","109.864"
"144","355","436.474","110.678"
"145","355","437.632","111.297"
"146","355","438.789","111.661"
"147","355","439.947","112.148"
"148","355","441.105","112.302"
"149","355","442.263","112.471"
"150","355","443.421","112.843"
"151","355","444.579","113.128"
"152","355","445.737","113.394"
"153","355","446.895","113.289"
"154","355","448.053","113.779"
"155","355","449.211","113.997"
"156","355","450.368","114.119"
"157","355","451.526","114.295"
"158","355","452.684","114.463"
"159","355","453.842","114.635"
"160","355","455","114.954"
"161","360","433","148.972"
"162","360","434.158","149.301"
"163","360","435.316","149.688"
"164","360","436.474","150.451"
"165","360","437.632","150.266"
"166","360","438.789","151.461"
"167","360","439.947","151.867"
"168","360","441.105","152.414"
"169","360","442.263","152.815"
"170","360","443.421","153.1"
"171","360","444.579","153.716"
"172","360","445.737","154.005"
"173","360","446.895","154.229"
"174","360","448.053","155.053"
"175","360","449.211","155.241"
"176","360","450.368","155.856"
"177","360","451.526","156.228"
"178","360","452.684","156.636"
"179","360","453.842","156.651"
"180","360","455","157.398"
"181","365","433","135.446"
"182","365","434.158","135.461"
"183","365","435.316","136.183"
"184","365","436.474","136.308"
"185","365","437.632","137.381"
"186","365","438.789","137.443"
"187","365","439.947","137.721"
"188","365","441.105","138.209"
"189","365","442.263","138.472"
"190","365","443.421","139.162"
"191","365","444.579","139.327"
"192","365","445.737","139.392"
"193","365","446.895","139.908"
"194","365","448.053","140.204"
"195","365","449.211","140.582"
"196","365","450.368","140.839"
"197","365","451.526","140.879"
"198","365","452.684","141.476"
"199","365","453.842","141.904"
"200","365","455","141.857"
"201","126","451","-163.98"
"202","140.421","451","-172.202"
"203","154.842","451","175.4"
"204","169.263","451","157.277"
"205","183.684","451","124.667"
"206","198.105","451","67.4788"
"207","212.526","451","-6.89045"
"208","226.947","451","-63.0344"
"209","241.368","451","-96.6326"
"210","255.789","451","-117.582"
"211","270.211","451","-134.493"
"212","284.632","451","-149.788"
"213","299.053","451","-164.602"
"214","313.474","451","178.915"
"215","327.895","451","-179.44"
"216","342.316","451","156.302"
"217","356.737","451","-142.344"
"218","371.158","451","130.558"
"219","385.579","451","107.646"
"220","400","451","173.485"
"221","127.96","451","-165.009"
"222","129.919","451","-165.896"
"223","131.879","451","-166.825"
"224","133.838","451","-168.071"
"225","135.798","451","-169.662"
"226","137.758","451","-170.325"
"227","139.717","451","-171.789"
"228","141.677","451","-172.953"
"229","143.636","451","-174.263"
"230","145.596","451","-175.753"
"231","147.556","451","-177.305"
"232","149.515","451","-179.044"
"233","151.475","451","179.268"
"234","153.434","451","177.492"
"235","155.394","451","174.945"
"236","157.354","451","173.076"
"237","159.313","451","170.995"
"238","161.273","451","168.652"
"239","163.232","451","166.22"
"240","165.192","451","163.243"
"241","167.152","451","160.49"
"242","169.111","451","157.367"
"243","171.071","451","154.217"
"244","173.03","451","150.406"
"245","174.99","451","146.447"
"246","176.949","451","142.042"
"247","178.909","451","137.664"
"248","180.869","451","132.71"
"249","182.828","451","127.567"
"250","184.788","451","121.431"
"251","186.747","451","115.181"
"252","188.707","451","108.061"
"253","190.667","451","100.846"
"254","192.626","451","92.601"
"255","194.586","451","83.9986"
"256","196.545","451","75.1186"
"257","198.505","451","65.4698"
"258","200.465","451","55.4505"
"259","202.424","451","45.2485"
"260","204.384","451","34.8524"
"261","206.343","451","24.6845"
"262","208.303","451","14.2727"
"263","210.263","451","4.21704"
"264","212.222","451","-5.2573"
"265","214.182","451","-14.7783"
"266","216.141","451","-23.4895"
"267","218.101","451","-31.711"
"268","220.061","451","-39.9812"
"269","222.02","451","-46.9012"
"270","223.98","451","-53.7775"
"271","225.939","451","-59.9644"
"272","227.899","451","-65.8566"
"273","229.859","451","-71.0496"
"274","231.818","451","-76.0249"
"275","233.778","451","-80.8969"
"276","235.737","451","-85.126"
"277","237.697","451","-89.2041"
"278","239.657","451","-93.2562"
"279","241.616","451","-96.9989"
"280","243.576","451","-100.817"
"281","245.535","451","-99.0109"
"282","247.495","451","-104.972"
"283","249.455","451","-108.568"
"284","251.414","451","-112.054"
"285","253.374","451","-114.375"
"286","255.333","451","-116.833"
"287","257.293","451","-119.343"
"288","259.253","451","-122.155"
"289","261.212","451","-124.032"
"290","263.172","451","-126.757"
"291","265.131","451","-129.359"
"292","267.091","451","-131.522"
"293","269.051","451","-133.674"
"294","271.01","451","-135.831"
"295","272.97","451","-137.786"
"296","274.929","451","-139.813"
"297","276.889","451","-141.822"
"298","278.848","451","-143.856"
"299","280.808","451","-145.946"
"300","282.768","451","-147.75"
"301","284.727","451","-149.471"
"302","286.687","451","-152.092"
"303","288.646","451","-153.738"
"304","290.606","451","-155.841"
"305","292.566","451","-157.881"
"306","294.525","451","-159.416"
"307","296.485","451","-161.705"
"308","298.444","451","-163.739"
"309","300.404","451","-165.492"
"310","302.364","451","-168.103"
"311","304.323","451","-170.067"
"312","306.283","451","-172.544"
"313","308.242","451","-174.33"
"314","310.202","451","-176.622"
"315","312.162","451","-179.187"
"316","314.121","451","178.152"
"317","316.081","451","174.809"
"318","318.04","451","170.893"
"319","320","451","163.608"
"0","","","163.608"
